Movies,Actors
Sing 2,"['Letitia Wright', 'Matthew McConaughey', 'Scarlett Johansson', 'Taron Egerton']"
The Matrix Resurrections,"['Keanu Reeves', 'Laurence Fishburne', 'Yahya Abdul-Mateen II']"
Spider-Man: No Way Home,"['Benedict Cumberbatch', 'Benedict Wong', 'Jake Gyllenhaal', 'Jon Favreau', 'Tom Hardy', 'Tom Holland', 'Zendaya']"
House of Gucci,"['Adam Driver', 'Al Pacino', 'Jared Leto', 'Jeremy Irons', 'Lady Gaga', 'Salma Hayek']"
Ghostbusters: Afterlife,"['Carrie Coon', ""Celeste O'Connor"", 'Finn Wolfhard', 'Logan Kim', 'Mckenna Grace', 'Paul Rudd']"
Clifford the Big Red Dog,"['Darby Camp', 'Jack Whitehall', 'Rosie Perez']"
Eternals,"['Angelina Jolie', 'Barry Keoghan', 'Bill Skarsgård', 'Brian Tyree Henry', 'Gemma Chan', 'Kumail Nanjiani', 'Lauren Ridloff', 'Lia McHugh', 'Ma Dong-seok', 'Richard Madden', 'Salma Hayek']"
Antlers,"['Jesse Plemons', 'Keri Russell']"
Last Night in Soho,"['Anya Taylor-Joy', 'Thomasin McKenzie']"
A Mouthful of Air,"['Britt Robertson', 'Paul Giamatti']"
Dune,"['Chang Chen', 'Charlotte Rampling', 'Dave Bautista', 'David Dastmalchian', 'Jason Momoa', 'Javier Bardem', 'Josh Brolin', 'Oscar Isaac', 'Rebecca Ferguson', 'Sharon Duncan-Brewster', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Timothée Chalamet', 'Zendaya']"
The French Dispatch,"['Anjelica Huston', 'Elisabeth Moss', 'Léa Seydoux', 'Saoirse Ronan', 'Timothée Chalamet']"
Halloween Kills,"['Andi Matichak', 'James Jude Courtney', 'Jamie Lee Curtis', 'Judy Greer', 'Nick Castle', 'Will Patton']"
The Last Duel,"['Adam Driver', 'Ben Affleck', 'Matt Damon']"
No Time to Die,"['Ana de Armas', 'Ben Whishaw', 'Daniel Craig', 'Lashana Lynch', 'Léa Seydoux', 'Naomie Harris', 'Rami Malek']"
The Addams Family 2,"['Chloë Grace Moretz', 'Oscar Isaac']"
The Card Counter,"['Oscar Isaac', 'Tiffany Haddish']"
The Protégé,"['Michael Keaton', 'Samuel L. Jackson']"
Free Guy,"['Chris Evans', 'Dwayne Johnson', 'Ryan Reynolds']"
The Suicide Squad,"['David Dastmalchian', 'Idris Elba', 'Jai Courtney', 'Joel Kinnaman', 'John Cena', 'Margot Robbie', 'Peter Capaldi', 'Pom Klementieff', 'Viola Davis']"
Swan Song,"['Awkwafina', 'Naomie Harris']"
Naked Singularity,"['Bill Skarsgård', 'Ed Skrein', 'John Boyega']"
Jungle Cruise,"['Dwayne Johnson', 'Edgar Ramírez', 'Emily Blunt', 'Jack Whitehall', 'Jesse Plemons', 'Paul Giamatti']"
The Green Knight,"['Barry Keoghan', 'Ralph Ineson']"
Nine Days,"['Benedict Wong', 'Bill Skarsgård']"
Old,"['Aaron Pierre', 'Abbey Lee', 'Alex Wolff', 'Eliza Scanlen', 'Embeth Davidtz', 'Emun Elliott', 'Gael García Bernal', 'Ken Leung', 'Nikki Amuka-Bird', 'Rufus Sewell', 'Thomasin McKenzie', 'Vicky Krieps']"
Snake Eyes: G.I. Joe Origins,"['Henry Golding', 'Samara Weaving']"
Space Jam: A New Legacy,"['Damian Lillard', 'Diana Taurasi', 'Don Cheadle', 'Klay Thompson', 'LeBron James', 'Nneka Ogwumike', 'Zendaya']"
Black Widow,"['David Harbour', 'Florence Pugh', 'Jeremy Renner', 'O.T. Fagbenle', 'Rachel Weisz', 'Ray Winstone', 'Scarlett Johansson']"
The Forever Purge,"['Alejandro Edda', 'Ana de la Reguera', 'Cassidy Freeman', 'Josh Lucas', 'Leven Rambin', 'Tenoch Huerta', 'Will Patton']"
Peter Rabbit 2: The Runaway,"['Elizabeth Debicki', 'Margot Robbie', 'Rose Byrne']"
Spirit Untamed,"['Eiza González', 'Jake Gyllenhaal', 'Mckenna Grace']"
Wrath of Man,"['Jason Statham', 'Rob Delaney']"
Mortal Kombat,"['Chin Han', 'Hiroyuki Sanada', 'Jessica McNamee', 'Joe Taslim', 'Josh Lawson', 'Lewis Tan', 'Ludi Lin', 'Mehcad Brooks', 'Tadanobu Asano']"
SAS: Red Notice,"['Owain Yeoman', 'Sam Heughan']"
Godzilla vs. Kong,"['Alexander Skarsgård', 'Brian Tyree Henry', 'Eiza González', 'Lance Reddick', 'Millie Bobby Brown']"
Raya and the Last Dragon,"['Awkwafina', 'Benedict Wong', 'Gemma Chan']"
Chaos Walking,"['Daisy Ridley', 'Nick Jonas', 'Tom Holland']"
Crisis,"['Evangeline Lilly', 'Michelle Rodriguez']"
Judas and the Black Messiah,"['Jesse Plemons', 'Lakeith Stanfield']"
The Mauritanian,"['Benedict Cumberbatch', 'Zachary Levi']"
The Little Things,"['Jared Leto', 'Rami Malek']"
Stillwater,"['Abigail Breslin', 'Matt Damon']"
Wonder Woman 1984,"['Chris Pine', 'Gal Gadot', 'Kristen Wiig', 'Pedro Pascal', 'Saïd Taghmaoui']"
News of the World,"['Helena Zengel', 'Tom Hanks']"
Monster Hunter,"['Milla Jovovich', 'Tony Jaa']"
The Croods: A New Age,"['Emma Stone', 'Ryan Reynolds']"
Come Play,"['Azhy Robertson', 'Gillian Jacobs']"
The War with Grandpa,"['Oakes Fegley', 'Robert De Niro']"
Tenet,"['Elizabeth Debicki', 'John David Washington', 'Kenneth Branagh', 'Michael Caine', 'Robert Pattinson']"
Scoob!,"['Ken Jeong', 'Mckenna Grace']"
1917,"['Benedict Cumberbatch', 'Dean-Charles Chapman', 'George MacKay', 'Richard Madden']"
Jumanji: The Next Level,"['Alex Wolff', 'Awkwafina', 'Danny DeVito', 'Dwayne Johnson', 'Jack Black', 'Karen Gillan', 'Kevin Hart', 'Nick Jonas']"
Dolittle,"['Jason Mantzoukas', 'John Cena', 'Kumail Nanjiani', 'Ralph Ineson', 'Rami Malek', 'Robert Downey Jr.', 'Tom Holland']"
The Invisible Man,"['Elisabeth Moss', 'Oliver Jackson-Cohen']"
The Call of the Wild,"['Harrison Ford', 'Karen Gillan', 'Terry Notary']"
Onward,"['Ali Wong', 'Chris Pratt', 'Tom Holland']"
Little Women,"['Eliza Scanlen', 'Emma Watson', 'Florence Pugh', 'Saoirse Ronan', 'Timothée Chalamet']"
The Gentlemen,"['Charlie Hunnam', 'Colin Farrell', 'Henry Golding', 'Hugh Grant', 'Matthew McConaughey', 'Michelle Dockery']"
Knives Out,"['Ana de Armas', 'Chris Evans', 'Christopher Plummer', 'Daniel Craig', 'Don Johnson', 'Jaeden Martell', 'Jamie Lee Curtis', 'Katherine Langford', 'Lakeith Stanfield', 'Michael Shannon', 'Toni Collette']"
The New Mutants,"['Anya Taylor-Joy', 'Blu Hunt', 'Charlie Heaton', 'Henry Zaga', 'Maisie Williams']"
Like a Boss,"['Rose Byrne', 'Salma Hayek', 'Tiffany Haddish']"
Unhinged,"['Caren Pistorius', 'Russell Crowe']"
The Photograph,"['Issa Rae', 'Lakeith Stanfield']"
Spies in Disguise,"['Ben Mendelsohn', 'Karen Gillan', 'Tom Holland', 'Will Smith']"
The Turning,"['Brooklynn Prince', 'Finn Wolfhard']"
Honest Thief,"['Jai Courtney', 'Kate Walsh', 'Liam Neeson']"
Uncut Gems,"['Lakeith Stanfield', 'Pom Klementieff']"
Brahms: The Boy II,"['Christopher Convery', 'Katie Holmes', 'Owain Yeoman', 'Ralph Ineson']"
Jojo Rabbit,"['Rebel Wilson', 'Scarlett Johansson', 'Thomasin McKenzie']"
I Still Believe,"['Britt Robertson', 'K.J. Apa']"
Bloodshot,"['Eiza González', 'Guy Pearce', 'Sam Heughan', 'Toby Kebbell', 'Vin Diesel']"
Cats,"['Idris Elba', 'Jennifer Hudson', 'Mette Towley', 'Ray Winstone', 'Rebel Wilson']"
Bombshell,"['Josh Lawson', 'Margot Robbie', 'Rob Delaney']"
Bill & Ted Face the Music,"['Keanu Reeves', 'Samara Weaving']"
The Last Full Measure,"['Christopher Plummer', 'Samuel L. Jackson', 'Sebastian Stan']"
The Lodge,"['Jaeden Martell', 'Lia McHugh']"
Joker,"['Brian Tyree Henry', 'Joaquin Phoenix', 'Robert De Niro']"
Jay and Silent Bob Reboot,"['Ben Affleck', 'Chris Hemsworth', 'David Dastmalchian', 'Matt Damon']"
The Last Vermeer,"['Guy Pearce', 'Vicky Krieps']"
The Addams Family,"['Chloë Grace Moretz', 'Finn Wolfhard', 'Oscar Isaac', 'Pom Klementieff']"
Maleficent: Mistress of Evil,"['Angelina Jolie', 'Ed Skrein', 'Elle Fanning', 'Imelda Staunton', 'Michelle Pfeiffer']"
Seberg,"['Anthony Mackie', 'Kristen Stewart']"
The Informer,"['Ana de Armas', 'Joel Kinnaman']"
Midway,"['Dennis Quaid', 'Ed Skrein', 'Nick Jonas', 'Patrick Wilson', 'Tadanobu Asano', 'Woody Harrelson']"
The Secrets We Keep,"['Chris Messina', 'Joel Kinnaman']"
Come Away,"['Angelina Jolie', 'Michael Caine']"
Alita: Battle Angel,"['Ed Skrein', 'Eiza González', 'Jai Courtney', 'Michelle Rodriguez']"
Zombieland: Double Tap,"['Abigail Breslin', 'Emma Stone', 'Woody Harrelson']"
Playing with Fire,"['John Cena', 'Judy Greer']"
Doctor Sleep,"['Ewan McGregor', 'Rebecca Ferguson']"
Buffaloed,"['Jai Courtney', 'Judy Greer']"
Babyteeth,"['Ben Mendelsohn', 'Eliza Scanlen']"
The Roads Not Taken,"['Elle Fanning', 'Javier Bardem', 'Salma Hayek']"
A Rainy Day in New York,"['Elle Fanning', 'Timothée Chalamet']"
Hustlers,"['Cardi B', 'Constance Wu', 'Jennifer Lopez', 'Julia Stiles', 'Keke Palmer', 'Lili Reinhart', 'Lizzo', 'Madeline Brewer', 'Mette Towley', 'Trace Lysette']"
Escape Room,"['Logan Miller', 'Taylor Russell']"
The Upside,"['Bryan Cranston', 'Kevin Hart']"
Glass,"['Anya Taylor-Joy', 'Bruce Willis', 'James McAvoy', 'Samuel L. Jackson']"
Serenity,"['Djimon Hounsou', 'Matthew McConaughey']"
Captain Marvel,"['Annette Bening', 'Ben Mendelsohn', 'Brie Larson', 'Chris Evans', 'Clark Gregg', 'Djimon Hounsou', 'Don Cheadle', 'Gemma Chan', 'Lashana Lynch', 'Lee Pace', 'Mark Ruffalo', 'Mckenna Grace', 'Samuel L. Jackson', 'Scarlett Johansson']"
Captive State,"['Madeline Brewer', 'Vera Farmiga']"
The Hummingbird Project,"['Alexander Skarsgård', 'Salma Hayek']"
Us,"['Elisabeth Moss', ""Lupita Nyong'o"", 'Yahya Abdul-Mateen II']"
Dumbo,"['Colin Farrell', 'Danny DeVito', 'Eva Green', 'Michael Keaton']"
The Beach Bum,"['Martin Lawrence', 'Matthew McConaughey']"
Shazam!,"['Djimon Hounsou', 'Zachary Levi']"
The Man Who Killed Don Quixote,"['Adam Driver', 'Stellan Skarsgård']"
Hellboy,"['David Harbour', 'Ian McShane', 'Milla Jovovich']"
Master Z: Ip Man Legacy,"['Dave Bautista', 'Tony Jaa']"
Avengers: Endgame,"['Anthony Mackie', 'Benedict Cumberbatch', 'Benedict Wong', 'Brie Larson', 'Chadwick Boseman', 'Chris Evans', 'Chris Hemsworth', 'Chris Pratt', 'Danai Gurira', 'Dave Bautista', 'Don Cheadle', 'Elizabeth Olsen', 'Evangeline Lilly', 'Gwyneth Paltrow', 'Hiroyuki Sanada', 'Jeremy Renner', 'Jon Favreau', 'Josh Brolin', 'Karen Gillan', 'Ken Jeong', 'Letitia Wright', 'Mark Ruffalo', 'Michelle Pfeiffer', 'Paul Rudd', 'Pom Klementieff', 'Robert Downey Jr.', 'Samuel L. Jackson', 'Scarlett Johansson', 'Sebastian Stan', 'Terry Notary', 'Tom Hiddleston', 'Tom Holland', 'Vin Diesel', 'Zoe Saldana']"
UglyDolls,"['Lizzo', 'Nick Jonas']"
The Hustle,"['Rebel Wilson', 'Rob Delaney']"
Aladdin,"['Marwan Kenzari', 'Mena Massoud', 'Naomi Scott', 'Navid Negahban', 'Will Smith']"
Godzilla: King of the Monsters,"['Millie Bobby Brown', 'Vera Farmiga']"
Rocketman,"['Jimmy Vee', 'Richard Madden', 'Taron Egerton']"
The Secret Life of Pets 2,"['Harrison Ford', 'Kevin Hart', 'Tiffany Haddish']"
Men in Black: International,"['Chris Hemsworth', 'Kumail Nanjiani', 'Liam Neeson', 'Rebecca Ferguson']"
Toy Story 4,"['Keanu Reeves', 'Tom Hanks']"
Annabelle Comes Home,"['Mckenna Grace', 'Patrick Wilson', 'Vera Farmiga']"
Ophelia,"['Daisy Ridley', 'George MacKay']"
Spider-Man: Far From Home,"['Ben Mendelsohn', 'Jake Gyllenhaal', 'Jon Favreau', 'Samuel L. Jackson', 'Tom Holland', 'Zendaya']"
Stuber,"['Dave Bautista', 'Karen Gillan', 'Kumail Nanjiani']"
"Love, Antosha","['Anya Taylor-Joy', 'Chris Pine', 'Kristen Stewart', 'Zoe Saldana']"
The Kitchen,"['Elisabeth Moss', 'Tiffany Haddish']"
The Angry Birds Movie 2,"['Awkwafina', 'Brooklynn Prince', 'Tiffany Haddish']"
The Goldfinch,"['Ansel Elgort', 'Finn Wolfhard', 'Oakes Fegley']"
Downton Abbey,"['Elizabeth McGovern', 'Hugh Bonneville', 'Imelda Staunton', 'Jim Carter', 'Maggie Smith', 'Michelle Dockery', 'Penelope Wilton']"
Gemini Man,"['Benedict Wong', 'Mary Elizabeth Winstead', 'Will Smith']"
Jexi,"['Michael Peña', 'Rose Byrne']"
Black and Blue,"['Naomie Harris', 'Tyrese Gibson']"
Arctic Dogs,"['Anjelica Huston', 'Jeremy Renner']"
Last Christmas,"['Henry Golding', 'Rob Delaney']"
